"especie_ID","ESPECIE_VA","NOME_VULGAR"
1,"Abies pinsapo","abeto-espanhol"
2,"Acacia dealbata","acácia-mimosa"
3,"Acacia longifolia","acácia-de-espigas"
4,"Acacia melanoxylon","acácia-da-Austrália"
5,"Acacia retinodes","acácia-virilda"
6,"Acacia sp.","acácia"
7,"Acca sellowiana","Feijoa"
8,"Acer campestre  ","bordo-comum"
9,"Acer monspessulanum","zelha"
10,"Acer negundo","bordo-negundo"
11,"Acer negundo aureomarginatum","ácer-negundo"
12,"Acer negundo var. negundo","bordo-negundo"
13,"Acer negundo variegatum","ácer-negundo"
14,"Acer palmatum ","bordo-vermelho-do-japão"
15,"Acer platanoides","ácer-da-Noruega"
16,"Acer platanoides ""Columnare""","Ácer-da-Noruega-colunar"
17,"Acer pseudoplatanus","plátano-bastardo"
18,"Acer pseudoplatanus columnaris","Ácer-da-Noruega-colunar"
19,"Acer pseudoplatanus f. purpureum","ácer-sicómero"
20,"Acer rubrum","Bordo-vermelho"
21,"Acer saccharinum","bordo-prateado"
22,"Acer sp.","ácer"
23,"Aesculus hippocastanum","castanheiro-da-índia"
24,"Aesculus sp.","castanheiro-da-índia"
25,"Aesculus x carnea","Castanheiro-da-índia-rosa"
26,"Ailanthus altissima","árvore-do-paraíso"
27,"Albizia julibrissin","albízia-de-constantinopla;albizia-mimosa"
28,"Alnus glutinosa","Amieiro-comum"
29,"Annona cherimola","Anoneira-comum"
30,"Apollonias barbujana","Barbusano"
31,"Araucaria araucana","araucária-do-chile"
32,"Araucaria bidwillii","araucária-da-Queenslândia;bunya-bunya"
33,"Araucaria columnaris","(empty)"
34,"Araucaria excelsa","Araucária-de-norfolk"
35,"Araucaria heterophylla","Araucária-de-norfolk"
36,"Arbutus unedo","medronheiro"
37,"Arecastrum romanzoffianum","palmeira-jerivá"
38,"Bambu spp.","(empty)"
39,"Bauhinia aculeata","bauínia-blaqueana"
40,"Bauhinia sp.","bauínia"
41,"Bauhinia variegata","bauínia-lilás"
42,"Berberis thunbergii","uva-espim-dos-jardins"
43,"Betula pendula","vidoeiro-branco"
44,"Bougainvillea glabra","buganvílea"
45,"Bougainvillea sp.","buganvílea"
46,"Brachychiton acerifolius","branquiquito-de-fogo-de-Illawarra"
47,"Brachychiton populneus","árvore-do-gelo;Branquiquito-perna-de-moça"
48,"Brachychiton sp.","branquiquito"
49,"Brahea armata","palmeira-azul"
50,"Broussonetia papyrifera","amoreira-de-papel"
51,"Buddleja davidii","lilás-da-China;budléia-lilás"
52,"Calendula officinalis","maravilhas"
53,"Callistemon sp.","lava-garrafas"
54,"Camellia sp.","camélia"
55,"Canna indica","cana-da-Índia"
56,"Castanea sativa","castanheiro"
57,"Casuarina cunninghamiana","casuarina"
58,"Casuarina equisetifolia ","casuarina"
59,"Casuarina sp.","casuarina"
60,"Catalpa bignonioides","catalpa"
61,"Cedrus atlantica","cedro-do-atlas"
62,"Cedrus atlantica var. Glauca","cedro-do-atlas"
63,"Cedrus deodara","cedro-dos-Himalaias"
64,"Cedrus libani","cedro-do-líbano"
65,"Cedrus sp.","Cedro"
66,"Ceiba crispiflora","Paineira-barriguda"
67,"Ceiba pentandra","kapoc"
68,"Ceiba speciosa","Sumaúma"
69,"Celtis australis","lódão-bastardo"
70,"Celtis australis subsp. australis","lódão-bastardo, agreira"
71,"Celtis occidentalis","lódão-americano"
72,"Celtis sinensis","lodão-japonês"
73,"Celtis sp.","Lodão"
74,"Ceratonia siliqua","alfarrobeira"
75,"Cercis siliquastrum","olaia"
76,"Cercis siliquastrum alba","olaia-branca"
77,"Cercis sp.","olaia"
78,"Chamaecyparis formosensis","camecipáris-da-formosa"
79,"Chamaecyparis lawsoniana","falso-de-Lawson;cedro-do-Oregon"
80,"Chamaerops excelsa","-"
81,"Chamaerops humilis","palmeira-das vassouras;palmeira-mediterrânica"
82,"Chorisia speciosa","Sumaúma"
83,"Citrus limon","limoeiro"
84,"Citrus reticulata","tangerineira"
85,"Citrus sinensis","laranjeira"
86,"Citrus sp.","citrinos"
87,"Citrus x aurantium","laranjeira-azeda;laranjeira-amarga"
88,"Cocos sp.","Coqueiro"
89,"Cordyline australis","fiteira"
90,"Corylus avellana","aveleira"
91,"Corylus colurna","aveleira-da-Turquia"
92,"Corynocarpus laevigata","Loureiro-da-Nova-Zelândia;corinocarpo;karaka"
93,"Corynocarpus sp.","corinocarpo"
94,"Cotoneaster franchetii","cotoneaster-de-Franchet"
95,"Cotoneaster nebrodensis","cotoneaster-de-nébrodes"
96,"Cotoneaster pannosus","Não aplicável"
97,"Cotoneaster sp.","(empty)"
98,"Crataegus laevigata","espinheiro-inglês, pilriteiro-inglês"
99,"Crataegus laevigata var. Paul`s Scarlet","Espinheiro-branco"
100,"Crataegus monogyna","pilriteiro"
101,"Crataegus sp.","pilriteiro"
102,"Cupressocyparis leylandii","cipreste-de-leyland"
103,"Cupressus arizonica Greene","cipreste-do-arizona"
104,"Cupressus lusitanica","cipreste-português;cipreste-do-buçaco"
105,"Cupressus lusitanica var. lusitanica","cipreste-do-buçaco"
106,"Cupressus macrocarpa","cipreste-da-califórrnia"
107,"Cupressus sempervirens","cipreste italiano"
108,"Cupressus sempervirens 'Pyramidalis'","-"
109,"Cupressus sempervirens f. sempervirens","cipreste-comum;cipreste italiano"
110,"Cupressus sempervirens var. Bolgheri","cipreste italiano"
111,"Cupressus sempervirens var. horizontalis","cipreste italiano"
112,"Cupressus sp.","Cipreste"
113,"Cupressus torulosa","cipreste-dos-himalaias"
114,"Cycas sp.","Cyca"
115,"Cydonia oblonga","marmeleiro"
116,"Datura spp.","(empty)"
117,"Datura suaveolens","trombeteira;datura"
118,"Dombeya sp.","dombéia"
119,"Dracaena draco","dragoeiro"
120,"Elaeagnus angustifolia","oliveira-do-paraiso"
121,"Em atualização","Em atualização"
122,"Eriobotrya deflexa","nespereira-híbrida"
123,"Eriobotrya japonica","nespereira-comum"
124,"Eriobotrya sp.","nespereira"
125,"Erythrina caffra","coralina"
126,"Erythrina crista-galli","coraleira (Eritrina-crista-de-galo)"
127,"Erythrina falcata","eritrina-corticeira"
128,"Erythrina sp.","eritrina"
129,"Eucalyptus cornuta","eucalipto"
130,"Eucalyptus globulus","eucalipto-comum"
131,"Eucalyptus salicifolia","eucalipto"
132,"Eucalyptus sp.","eucalipto"
133,"Euonymus japonicus","evónio-dos-jardins (Evónimo-japonês)"
134,"Euonymus sp.","Evónimo"
135,"Ficus benjamina","figueira-benjamim"
136,"Ficus carica","figueira-comum"
137,"Ficus diversifolia","Fico"
138,"Ficus elastica","árvore-da-borracha"
139,"Ficus macrophylla","figueira-estranguladora"
140,"Ficus microcarpa","árvore-do-pagode, figueira-de-goa"
141,"Ficus nitida","figueira-chorão"
142,"Ficus religiosa","figueira-dos-pagodes"
143,"Ficus rubiginosa","Fico"
144,"Ficus sp.","Fico"
145,"Fraxinus americana","freixo-americano"
146,"Fraxinus angustifolia","freixo (Freixo-das-folhas-estreitas)"
147,"Fraxinus angustifolia subsp. angustifolia","freixo-de folha-estreita"
148,"Fraxinus angustifolia var. Raywood","freixo-das-folhas-estreitas"
149,"Fraxinus excelsior","freixo-europeu"
150,"Fraxinus ornus","freixo-das-flores"
151,"Fraxinus pennsylvanica","freixo-da-Pensilvânia"
152,"Fraxinus sp.","freixo"
153,"Ginkgo biloba","ginkgo;nogueira-do-Japão;árvore-de-quarenta-dinheiros"
154,"Gleditsia triacanthos","espinheiro-da-Virgínia"
155,"Gleditsia triacanthos var. inermis 'Sunburst'","espinheiro-da-Virgínia"
156,"Grevillea robusta","grevílea"
157,"Hibiscus rosa-sinensis","rosa-da-china;cardeal"
158,"Hibiscus sp.","Hibisco"
159,"Hibiscus syriacus","Hibisco"
160,"Hibiscus syriacus (branco)","#N/A"
161,"Hibiscus syriacus var. Woodbridge","Hibisco"
162,"Howea belmoreana","kentia-das-terras-altas-de-Lord-Howe"
163,"Howea forsteriana","kentia-das-terras-baixas-de-Lord-Howe"
164,"Howea sp.","kentia"
165,"Ilex aquifolium","azevinho"
166,"Iochroma cyaneum","Não aplicável"
167,"Jacaranda mimosifolia","jacarandá-mimoso"
168,"Jubaea chilensis","palmeira-do-chile"
