morada_ID,MORADA,FREG_2012
1,Rua Cidade de Benguela,Olivais
2,Rua Cidade da Praia,Olivais
3,Rua Cidade de Bissau,Olivais
4,Rua Almada Negreiros,Olivais
5,Não identificada,Campolide
6,Rua Rodrigues Sampaio,Santo António
7,Rua Camilo Castelo Branco,Santo António
8,Acesso IP7,Campolide
9,Não identificada,Alvalade
10,Praça Nuno Gonçalves,Avenidas Novas
11,Rua Sousa Lopes,Avenidas Novas
12,Largo José Luis Champalimaud,Avenidas Novas
13,Largo do Leão,Arroios
14,Campo Grande,Alvalade
15,Avenida Praia da Vitória,Arroios
16,Alameda da Universidade,Alvalade
17,Avenida Almirante Gago Coutinho,Alvalade
18,Rua Maestro Jaime Silva (Filho),
19,Rua Mestro Jaime Silva (Filho),
20,Rua Castilho,Santo António
21,Praça das Amoreiras,Santo António
22,Avenida Almirante Reis,Arroios
23,Avenida Miguel Torga,Campolide
24,Rua de Campolide,Campolide
25,Rua Francisco Franco,Alvalade
26,Rua 32,Penha de França
27,Rua 62A,Penha de França
28,Rua 30,Penha de França
29,Rua 1,Penha de França
30,Rua 46A,Penha de França
31,Não identificada,Penha de França
32,Rua 12,Penha de França
33,Rua 61,Penha de França
34,Rua 64,Penha de França
35,Rua 60,Penha de França
36,Rua 16,Penha de França
37,Rua 57,Penha de França
38,Rua 5A,Penha de França
39,Rua 7,Penha de França
40,Pátio do Garrido,Campo de Ourique
41,Rua 13,Penha de França
42,Rua 34,Penha de França
43,Cruzes da Sé,Santa Maria Maior
44,Rua do Arco do Carvalhão,Campo de Ourique
45,Beco do Carneiro,Santa Maria Maior
46,Rua 31,Penha de França
47,Rua 6,Penha de França
48,Avenida General Roçadas,Penha de França
49,Avenida Cidade de Luanda,Olivais
50,Alameda de Santo António dos Capuchos,Arroios
51,Rua Rodrigo da Fonseca,Santo António
52,Avenida das Forças Armadas,Avenidas Novas
53,Avenida Frei Miguel Contreiras,Alvalade
54,Avenida dos Combatentes,Alvalade
55,Avenida das Forças Armadas,Alvalade
56,Avenida Álvaro Pais,Avenidas Novas
57,Não identificada,Avenidas Novas
58,Avenida Calouste Gulbenkian,Campolide
59,Praça da Armada,Estrela
60,Avenida de Brasília,Estrela
61,Rua 19,Penha de França
62,Rua 62,Penha de França
63,Rua 4,Penha de França
64,Rua 11,Penha de França
65,Rua 3,Penha de França
66,Rua 46,Penha de França
67,Rua Artur de Paiva,Penha de França
68,Avenida de Ceuta,Campo de Ourique
69,Não identificada,Campo de Ourique
70,Avenida Cidade de Praga,
71,,
72,Rua Interior Particular,
73,Rua Braamcamp,Santo António
74,Pátio do Gaspar 2,Campolide
75,Rua Conde de Ficalho,Alvalade
76,Rua Professor Veiga Beirão,Alvalade
77,Azinhaga dos Barros,Alvalade
78,Rua 58,Penha de França
79,Rua 47A,Penha de França
80,Rua Professor Celestino da Costa,Penha de França
81,Rua 19,Estrela
82,Rua 35,Penha de França
83,Rua Adolfo Coelho,Penha de França
84,Rua 36,Penha de França
85,Rua 55,Penha de França
86,Rua 15,Penha de França
87,Rua 49,Penha de França
88,Rua 3,Lumiar
89,Rua 23,Lumiar
90,Rua 2,Lumiar
91,Rua da República do Paraguai,Lumiar
92,Rua 4,Lumiar
93,Rua 5,Benfica
94,Rua Cidade de Novo Redondo,Olivais
95,Avenida Marechal Gomes da Costa,Marvila
96,Avenida Marechal Gomes da Costa,Olivais
97,Rua Cidade de Malange,Olivais
98,Praça Cidade de Dili,Olivais
99,Rua de Vila Alferes Chamusca,Olivais
100,Rua Dom Aleixo Corte-Real,Olivais
101,Rua Joaquim António de Aguiar,Santo António
102,Avenida Conselheiro Fernando de Sousa,Campolide
103,Rua Joaquim António de Aguiar,Avenidas Novas
104,Rua Sarmento de Beires,Areeiro
105,Avenida Cinco de Outubro,Avenidas Novas
106,Rua 22,Penha de França
107,Rua Bispo de Cochim,Penha de França
108,Largo de Santos o Novo,Penha de França
109,Rua Cascais,Estrela
110,Rua 32A,Penha de França
111,Parada do Alto de São João,Penha de França
112,Rua 10,Penha de França
113,Rua 33,Penha de França
114,Rua 13B,Benfica
115,Rua 35,Benfica
116,Rua 24,Benfica
117,Rua 7,Benfica
118,Avenida Marechal Teixeira Rebelo,Benfica
119,Rua 4,Benfica
120,Rua das Magnólias,Benfica
121,Não identificada,Benfica
122,Rua Rainha Dona Brites,Benfica
123,Rua 2,Benfica
124,Rua 3,Benfica
125,Rua 33,Benfica
126,Rua 10,Benfica
127,Não identificada,Carnide
128,Rua Sidónio Serpa,Carnide
129,Rua Professor Santos Lucas,Benfica
130,Rua Dr. Almeida Amaral,Arroios
131,Travessa da Fábrica dos Pentes,Santo António
132,Alameda da Estação,Avenidas Novas
133,Largo de Dona Estefânia,Arroios
134,Avenida Vinte e Quatro de Julho,Estrela
135,Rua Lopes,Penha de França
136,Rua da Madre de Deus,Penha de França
137,Rua 17,Penha de França
138,Rua 6A,Penha de França
139,Calçada das Lajes,Penha de França
140,Rua 56,Penha de França
141,Avenida Columbano Bordalo Pinheiro,São Domingos de Benfica
142,Rua 36,Benfica
143,Rua 30,Benfica
144,Rua 14,Benfica
145,Rua 17,Benfica
146,Rua 19,Benfica
147,Praça Professor Santos Andrea,Benfica
148,Rua Carvalhão Duarte,Lumiar
149,Rua Cidade de Carmona,Olivais
150,Rua Cidade de Bolama,Olivais
151,Rua do Dondo,Olivais
152,Rua do Ibo,Olivais
153,Rua Cidade de Lobito,Olivais
154,Rua Mamadu Sissé,Olivais
155,Avenida Duque de Loulé,Santo António
156,Rua Dom Carlos de Mascarenhas,Campolide
157,Rua José Estêvão,Arroios
158,Rua Dom Francisco Manuel de Melo,Avenidas Novas
159,Rua Padre José Gallea,Campolide
160,Rua Castilho,Avenidas Novas
161,Rua Visconde de Santarém,Arroios
162,Avenida de António José de Almeida,Avenidas Novas
163,Rua Cidade de Cádiz,
164,Rua Cidade dce Cadiz,
165,Avenida Cidade de Cadiz,
166,Rua 47,Penha de França
167,Largo da Oliveirinha,Misericórdia
168,Não identificada,Estrela
169,Rua 8,Penha de França
170,Praça João de Azevedo Coutinho,Penha de França
171,Rua 4C,Penha de França
172,Rua 48,Penha de França
173,Rua Dr. Rafael Duque,Benfica
174,Calçadinha dos Olivais,Olivais
175,Praça de Goa,Belém
176,Calçada da Tapada,Alcântara
177,Vila Maria,Campolide
178,Rua Rodrigo da Fonseca,Avenidas Novas
179,Rua de Dona Estefânia,Arroios
180,Avenida Santos Dumont,Avenidas Novas
181,Rua Caetano Alberto,Areeiro
182,Avenida dos Combatentes,Avenidas Novas
183,Avenida Óscar Monteiro Torres,Areeiro
184,Rua Francisco de Holanda,Avenidas Novas
185,Avenida Afonso Costa,Areeiro
186,Avenida Marechal Francisco da Costa Gomes,Areeiro
187,Rua Infante Dom Pedro,Alvalade
188,Avenida Infante Santo,Estrela
189,Rua Paio Peres Correia,Penha de França
190,Rua Prof. Almeida Lima,Carnide
191,Rua Almirante Campos Rodrigues,Benfica
192,Rua André de Gouveia,Lumiar
193,Rua Alfredo Ferraz,Carnide
194,Rua Herculano Pimentel,Carnide
195,Rua do Rio Corgo,Carnide
196,Não identificada,Lumiar
197,Rua General Silva Freire,Olivais
198,Rua da Penha de França,Arroios
199,Rua Gomes Freire,Arroios
200,Rua Jacinta Marto,Arroios
201,Rua Gonçalves Crespo,Arroios
202,Não identificada,Areeiro
203,Rua Interior,Alvalade
204,Rua João de Deus Ramos,Alvalade
205,Rua Francisco Lyon de Castro,Avenidas Novas
206,Rua Aprígio Mafra,Alvalade
207,Vila Amaral,Penha de França
208,Viaduto de Alcântara,Estrela
209,Rua da Lapa,Estrela
210,Rua 10,Estrela
211,Rua Correia Teles,Campo de Ourique
212,Rua Actor Nascimento Fernandes,Benfica
213,Rua Augusto Pina,São Domingos de Benfica
214,Rua Engº Paulo de Barros,Benfica
215,Rua Sousa Loureiro,São Domingos de Benfica
216,Azinhaga das Carmelitas,Carnide
217,Largo da Luz,Carnide
218,Rua das Azáleas,Benfica
219,Rua da Fonte,Carnide
220,Avenida Casal Ribeiro,Arroios
221,Rua Quirino da Fonseca,Arroios
222,Rua Dr. Júlio Dantas,Campolide
223,Avenida Dom Rodrigo da Cunha,Alvalade
224,Avenida Coronel Eduardo Galhardo,Penha de França
225,Largo da Graça,São Vicente
226,Rua Alcina Bastos,São Domingos de Benfica
227,Estrada da Circunvalação,Benfica
228,Rua Costa Mota,São Domingos de Benfica
229,Rua Ana de Castro Osório,Carnide
230,Estrada dos Arneiros,Benfica
231,Rua da Quinta do Charquinho,Benfica
232,Largo Calouste Gulbenkian,São Domingos de Benfica
233,Rua 8,Benfica
234,Rua Dr. Joaquim Manso,Benfica
235,Rua Hermano Neves,Lumiar
236,Rua Prof. Dias Amado,Lumiar
237,Rua do Seminário,Carnide
238,Rua  Maestro Jaime Silva (Filho),
239,Rua Duque de Palmela,Santo António
240,Rampa das Necessidades,Estrela
241,Avenida Vinte e Quatro de Julho,Misericórdia
242,Não identificada,São Vicente
243,Avenida dos Condes de Carnide,Benfica
244,Rua 12,Benfica
245,Rua 32,Benfica
246,Rua Prof. Aires de Sousa,Lumiar
247,Travessa de São Domingos de Benfica,São Domingos de Benfica
248,Estrada Militar,Benfica
249,Avenida Marechal Gomes da Costa,Parque das Nações
250,Rua Cidade de Vila Cabral,Olivais
251,Rua Conde de Arnoso,Alvalade
252,Avenida General Norton de Matos,Alvalade
253,Rua das Escolas Gerais,Santa Maria Maior
254,Beco dos Clérigos,Santa Maria Maior
255,Rua 37,Penha de França
256,Rua 6,Benfica
257,Travessa de Palma,São Domingos de Benfica
258,Rua 23,Benfica
259,Rua Santa Matilde,São Domingos de Benfica
260,Rua Guiomar Torresão,Carnide
261,Rua Prof. Hernâni Cidade,Lumiar
262,Avenida das Nações Unidas,Lumiar
263,Rua Prof. Bento de Jesus Caraça,Lumiar
264,Estrada da Luz,Carnide
265,Não identificada,Santo António
266,Rua de São Pedro de Alcântara,Santo António
267,Avenida Professor Gama Pinto,Alvalade
268,Rua Costa Pimenta,Campo de Ourique
269,Rua da Senhora do Monte,São Vicente
270,Largo da Sé,Santa Maria Maior
271,Alameda António Sérgio,Santa Clara
272,Rua Prof. Arsénio Nunes,Carnide
273,Rua do Rio Lima,Carnide
274,Rua do Rio Douro,Carnide
275,Rua 14,Lumiar
276,Rua 15,Benfica
277,Rua Elvira Velez,Benfica
278,Rua 14A,Lumiar
279,Eixo Norte-Sul,Lumiar
280,Rua do Rio Sabor,Carnide
281,Rua 5,Lumiar
282,Rua 6,Lumiar
283,Rua Prof. Fernando de Mello Moser,Lumiar
284,Jardim Bento Martins,Carnide
285,Rua Virgílio Correia,São Domingos de Benfica
286,Rua João de Freitas Branco,São Domingos de Benfica
287,Rua 31,Benfica
288,Rua João Ortigão Ramos,Benfica
289,Rua 4A,Benfica
290,Rua 33A,Benfica
291,Rua Engº Ferreira Dias,Marvila
292,Calçada da Estação,Campolide
293,Rua da Escola de Medicina Veterinária,Arroios
294,Rua Capitão Henrique Galvão,Areeiro
295,Doca de Alcântara,Estrela
296,Rua de Santos-o-Velho,Estrela
297,Rua Sampaio Bruno,Campo de Ourique
298,Rua 38A,Penha de França
299,Rua Abel Manta,Benfica
300,Rua Prof. Manuel Cavaleiro Ferreira,Lumiar
301,Rua Prof. João de Castro Mendes,Lumiar
302,Azinhaga das Lajes,Lumiar
303,Rua Maria Margarida,Lumiar
304,Não identificada,Santa Clara
305,,Carnide
306,Rua José Escada,Lumiar
307,Praça José Fontana,Arroios
308,Rua Cristóvão de Figueiredo,Avenidas Novas
309,Rua Marquês de Sá da Bandeira,Avenidas Novas
310,Rua Vitor Hugo,Areeiro
311,Rua do Passadiço,Santo António
312,Rua Vítor Santos,Carnide
313,Rua do Parque,Benfica
314,Rua Doutor Gregório Rodrigues Fernandes,São Domingos de Benfica
315,Largo República da Turquia,Lumiar
316,Rua 24,Lumiar
317,Rua 30,Lumiar
318,Rua Dr. Henrique Martins Gomes,Lumiar
319,Rua do Rio Tejo,Carnide
320,Rua Daniel Santa Rita,Lumiar
321,Rua 21,Lumiar
322,Rua 16,Lumiar
323,Rua 17,Lumiar
324,Rua Prof. José Pinto Correia,Lumiar
325,Rua João Amaral,Santa Clara
326,Avenida Nuno Krus Abecassis,Santa Clara
327,Rua Cordeiro Ferreira,Lumiar
328,Rua Luís de Freitas Branco,Lumiar
329,Rua Vila de Catió,Olivais
330,Rua de Manica,Olivais
331,Rua de Manhiça,Olivais
332,Avenida Marechal Craveiro Lopes,Alvalade
333,Eixo Norte-Sul,Campolide
334,Rua do Garcia à Cascalheira,Campolide
335,Rua Palmira,Arroios
336,Avenida da Liberdade,Santo António
337,Calçada Ribeiro Santos,Estrela
338,Rua da Quinta do Loureiro,Campo de Ourique
339,Campo de Santa Clara,São Vicente
340,Largo Dr. Bernardino António Gomes (Pai),São Vicente
341,Rua Freitas Gazul,Campo de Ourique
342,Caracol da Graça,São Vicente
343,Rua Francisco Santos,São Domingos de Benfica
344,Largo Mário Neves,São Domingos de Benfica
345,Rua Rainha D. Maria I,Benfica
346,Rua Professor Lima Basto,São Domingos de Benfica
347,Rua 20,Lumiar
348,Estrada da Torre,Lumiar
349,Rua 10 - PUAL,Lumiar
350,Rua E - PUAL,Lumiar
351,Rua Marques da Silva,Arroios
352,Avenida José Malhoa,Campolide
353,Rua Cardeal Saraiva,Campolide
354,Rua Egas Moniz,Areeiro
355,Avenida Barbosa du Bocage,Avenidas Novas
356,Rua Capitão Afonso Pala,Estrela
357,Calçadinha do Tijolo,São Vicente
358,Praça de Dom Luís I,Misericórdia
359,Vila Amorim,Campo de Ourique
360,Calçada da Cruz da Pedra,Penha de França
361,Rua Fernando Lopes Graça,Lumiar
362,Rua Prof. Pais da Silva,Carnide
363,Rua Francisco da Conceição Silva,Lumiar
364,Rua 11,Lumiar
365,Rua A,Benfica
366,Rua dos Sete Céus,Santa Clara
367,Rua Professor Sedas Nunes,Carnide
368,Rua Prof. Vieira de Almeida,Lumiar
369,Rua Cipriano Dourado,Lumiar
370,Avenida Padre Cruz,Lumiar
371,Rua 15,Lumiar
372,Rua 18,Lumiar
373,Rua José Galhardo,Lumiar
374,Rua Francisco de Assis Rodrigues,Campolide
375,Avenida Duque de Loulé,Arroios
